#,collection,nft_contract_address,sales,usd_volume,eth_volume,lowest_sale,high_sale
1,Bored Ape Yacht Club,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,3078,183664547.52598575,60692.58646077542,1e-18,275.0
2,PudgyPenguins,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,4232,179764622.66219857,62553.72551589306,1e-18,150.0
3,MutantApeYachtClub,0x60e4d786628fea6478f785a6d7e704777c86a7c6,11076,118092121.91255002,41528.89136552373,1e-18,35.0
4,Azuki,0xed5af388653567af2f388e6224dc7c4b3241c544,6837,114848142.0143782,43873.86900354094,1e-18,95.0
5,CryptoPunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,502,112756139.84088916,37496.4424100002,0.0,4849.999999999999
6,LilPudgys,0x524cab2ec69124574082676e6f654a18df49a048,20464,86630444.31177287,30181.8219997702,1e-18,19.9
7,Milady,0x5af0d9827e0c53e4799bb226655a1de152a425a5,5484,54208380.43220172,17156.115578925925,1e-18,23.45
8,DeGods,0x8821bee2ba0df28761afff119d66390d594cd280,6968,49582232.97124632,17758.501249542944,1e-18,26.33
9,Moonbirds,0x23581767a106ae21c074b2276d25e5c3e136a68b,10908,42345427.21480847,14606.725287740544,1e-18,10.0
10,Nobody,0xa28d6a8eb65a41f3958f1de62cbfca20b817e66a,26293,36600150.21648779,14636.57623827354,0.001,19.52
